model,query_source,feature_set,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
matched_full_rubric,matched_full,rubric,16,comprehensiveness,100.00000000,0.63055556,0.36287570,0.52677292,31,144,16
matched_full_rubric,matched_full,rubric,16,insight,100.00000000,0.60277778,0.31279041,1.11332156,31,144,16
matched_full_rubric,matched_full,rubric,16,instruction_following,100.00000000,0.60648148,0.38035723,0.74035646,31,144,16
matched_full_rubric,matched_full,rubric,16,readability,100.00000000,0.72129630,0.60308448,0.66196061,31,144,16
matched_full_rubric,matched_full,rubric,17,comprehensiveness,100.00000000,0.66574074,0.43701991,0.57684225,31,144,16
matched_full_rubric,matched_full,rubric,17,insight,10.00000000,0.57500000,0.24990666,1.08998058,31,144,16
matched_full_rubric,matched_full,rubric,17,instruction_following,100.00000000,0.60925926,0.42768669,0.70930200,31,144,16
matched_full_rubric,matched_full,rubric,17,readability,100.00000000,0.68240741,0.50251934,0.76657370,31,144,16
matched_full_rubric,matched_full,rubric,18,comprehensiveness,10.00000000,0.64259259,0.39834850,0.59630141,31,144,16
matched_full_rubric,matched_full,rubric,18,insight,0.10000000,0.56574074,0.22822914,1.10119446,31,144,16
matched_full_rubric,matched_full,rubric,18,instruction_following,1.00000000,0.57962963,0.35403071,0.68875742,31,144,16
matched_full_rubric,matched_full,rubric,18,readability,100.00000000,0.68796296,0.52196848,0.77816131,31,144,16
matched_full_global_structure,matched_full,global_structure,1,comprehensiveness,10.00000000,0.63055556,0.35837348,1.04515227,1047,144,16
matched_full_global_structure,matched_full,global_structure,1,insight,1000.00000000,0.66388889,0.48315842,1.13518608,1047,144,16
matched_full_global_structure,matched_full,global_structure,1,instruction_following,0.10000000,0.54259259,0.23659196,2.05652254,1047,144,16
matched_full_global_structure,matched_full,global_structure,1,readability,1000.00000000,0.72129630,0.59345404,0.67664891,1047,144,16
matched_full_global_structure,matched_full,global_structure,2,comprehensiveness,10.00000000,0.60925926,0.31674761,0.96938857,1047,144,16
matched_full_global_structure,matched_full,global_structure,2,insight,1000.00000000,0.67500000,0.51714313,1.03696920,1047,144,16
matched_full_global_structure,matched_full,global_structure,2,instruction_following,0.10000000,0.56111111,0.30380154,2.37371794,1047,144,16
matched_full_global_structure,matched_full,global_structure,2,readability,1000.00000000,0.70740741,0.57284451,0.72964884,1047,144,16
matched_full_global_structure,matched_full,global_structure,3,comprehensiveness,10.00000000,0.65277778,0.40337276,1.03339098,1047,144,16
matched_full_global_structure,matched_full,global_structure,3,insight,1000.00000000,0.68796296,0.54344311,1.01361503,1047,144,16
matched_full_global_structure,matched_full,global_structure,3,instruction_following,10.00000000,0.59722222,0.38270190,1.43172835,1047,144,16
matched_full_global_structure,matched_full,global_structure,3,readability,1000.00000000,0.71481481,0.58439398,0.70141933,1047,144,16
matched_full_global_structure,matched_full,global_structure,4,comprehensiveness,10.00000000,0.63148148,0.36236167,0.86010980,1047,144,16
matched_full_global_structure,matched_full,global_structure,4,insight,1000.00000000,0.67037037,0.50314054,1.00642381,1047,144,16
matched_full_global_structure,matched_full,global_structure,4,instruction_following,0.10000000,0.55740741,0.27963043,1.92270266,1047,144,16
matched_full_global_structure,matched_full,global_structure,4,readability,1000.00000000,0.71851852,0.59009035,0.70279934,1047,144,16
matched_full_global_structure,matched_full,global_structure,5,comprehensiveness,10.00000000,0.63518519,0.37687822,0.89951923,1047,144,16
matched_full_global_structure,matched_full,global_structure,5,insight,1000.00000000,0.71203704,0.59408355,0.91109335,1047,144,16
matched_full_global_structure,matched_full,global_structure,5,instruction_following,1.00000000,0.53888889,0.25188893,1.48663579,1047,144,16
matched_full_global_structure,matched_full,global_structure,5,readability,1000.00000000,0.73425926,0.63003923,0.72262556,1047,144,16
matched_full_global_structure,matched_full,global_structure,6,comprehensiveness,100.00000000,0.62222222,0.35336420,0.68607140,1047,144,16
matched_full_global_structure,matched_full,global_structure,6,insight,1000.00000000,0.70000000,0.57268257,0.91690594,1047,144,16
matched_full_global_structure,matched_full,global_structure,6,instruction_following,10.00000000,0.54722222,0.27846957,1.17533351,1047,144,16
matched_full_global_structure,matched_full,global_structure,6,readability,1000.00000000,0.71481481,0.58249081,0.72683219,1047,144,16
matched_full_global_structure,matched_full,global_structure,7,comprehensiveness,100.00000000,0.62685185,0.34432415,0.62568018,1047,144,16
matched_full_global_structure,matched_full,global_structure,7,insight,1000.00000000,0.69814815,0.56188049,0.93965544,1047,144,16
matched_full_global_structure,matched_full,global_structure,7,instruction_following,10.00000000,0.50555556,0.11362787,1.40934577,1047,144,16
matched_full_global_structure,matched_full,global_structure,7,readability,1000.00000000,0.71203704,0.55235460,0.69897842,1047,144,16
matched_full_global_structure,matched_full,global_structure,16,comprehensiveness,100.00000000,0.65277778,0.42951943,0.63142294,1047,144,16
matched_full_global_structure,matched_full,global_structure,16,insight,1000.00000000,0.70277778,0.57532607,0.94376236,1047,144,16
matched_full_global_structure,matched_full,global_structure,16,instruction_following,1000.00000000,0.55185185,0.21909187,0.78784828,1047,144,16
matched_full_global_structure,matched_full,global_structure,16,readability,1000.00000000,0.71481481,0.58640853,0.68631421,1047,144,16
matched_full_global_structure,matched_full,global_structure,17,comprehensiveness,10.00000000,0.64537037,0.41799915,0.69973999,1047,144,16
matched_full_global_structure,matched_full,global_structure,17,insight,1000.00000000,0.68240741,0.51497795,0.99302280,1047,144,16
matched_full_global_structure,matched_full,global_structure,17,instruction_following,1.00000000,0.54166667,0.25806552,1.91258324,1047,144,16
matched_full_global_structure,matched_full,global_structure,17,readability,1000.00000000,0.69166667,0.52947747,0.70440042,1047,144,16
matched_full_global_structure,matched_full,global_structure,18,comprehensiveness,10.00000000,0.62685185,0.35788391,0.69231009,1047,144,16
matched_full_global_structure,matched_full,global_structure,18,insight,1000.00000000,0.70092593,0.57822814,1.03705463,1047,144,16
matched_full_global_structure,matched_full,global_structure,18,instruction_following,10.00000000,0.60185185,0.40466028,1.56207539,1047,144,16
matched_full_global_structure,matched_full,global_structure,18,readability,1000.00000000,0.71944444,0.58457638,0.72005371,1047,144,16
matched_full_global_rubric,matched_full,global_rubric,1,comprehensiveness,100.00000000,0.60462963,0.30993574,0.84333413,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,1,insight,1000.00000000,0.62962963,0.39019036,1.17707238,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,1,instruction_following,100.00000000,0.59629630,0.39659461,1.08862141,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,1,readability,1000.00000000,0.70740741,0.55829094,0.66731560,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,2,comprehensiveness,1000.00000000,0.58518519,0.23494009,0.63269329,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,2,insight,1000.00000000,0.66111111,0.47325788,1.08262167,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,2,instruction_following,10.00000000,0.60462963,0.39677596,1.57261223,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,2,readability,1000.00000000,0.69074074,0.52708530,0.70890530,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,3,comprehensiveness,100.00000000,0.60462963,0.32645676,0.84068512,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,3,insight,1000.00000000,0.66111111,0.48304402,1.04547634,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,3,instruction_following,0.10000000,0.58055556,0.32917830,1.50215639,1055,144,16
matched_full_global_rubric,matched_full,global_rubric,3,readability,1000.00000000,0.71944444,0.58047722,0.69328098,1055,144,16
