model,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
global_unbounded,1,comprehensiveness,10.00000000,0.60277778,0.29768540,1.17223184,1024,144,16
global_unbounded,1,insight,1000.00000000,0.63796296,0.41225376,1.17023922,1024,144,16
global_unbounded,1,instruction_following,0.10000000,0.53611111,0.21345130,1.97326078,1024,144,16
global_unbounded,1,readability,1000.00000000,0.69444444,0.52116851,0.70466953,1024,144,16
global_unbounded,2,comprehensiveness,100.00000000,0.57500000,0.21683474,0.85368104,1024,144,16
global_unbounded,2,insight,1000.00000000,0.64722222,0.45956083,1.07448720,1024,144,16
global_unbounded,2,instruction_following,0.10000000,0.57037037,0.31649502,2.20506016,1024,144,16
global_unbounded,2,readability,1000.00000000,0.67685185,0.49127029,0.76098166,1024,144,16
global_unbounded,3,comprehensiveness,10.00000000,0.59166667,0.27075867,1.11020864,1024,144,16
global_unbounded,3,insight,1000.00000000,0.66481481,0.48531497,1.04212779,1024,144,16
global_unbounded,3,instruction_following,0.01000000,0.56481481,0.30138009,1.62373784,1024,144,16
global_unbounded,3,readability,1000.00000000,0.69722222,0.52602297,0.72791521,1024,144,16
global_unbounded,4,comprehensiveness,10.00000000,0.59814815,0.28679971,0.96264173,1024,144,16
global_unbounded,4,insight,1000.00000000,0.64907407,0.44193397,1.03605761,1024,144,16
global_unbounded,4,instruction_following,100.00000000,0.53981481,0.20731336,1.07545783,1024,144,16
global_unbounded,4,readability,1000.00000000,0.71018519,0.56687403,0.73026861,1024,144,16
global_unbounded,5,comprehensiveness,10.00000000,0.60555556,0.28598407,0.97708209,1024,144,16
global_unbounded,5,insight,1000.00000000,0.68518519,0.52462843,0.95013852,1024,144,16
global_unbounded,5,instruction_following,100.00000000,0.50925926,0.19296666,0.94059899,1024,144,16
global_unbounded,5,readability,1000.00000000,0.72222222,0.60028454,0.75864593,1024,144,16
global_unbounded,6,comprehensiveness,1.00000000,0.60740741,0.30507241,0.95132093,1024,144,16
global_unbounded,6,insight,1000.00000000,0.67407407,0.50873741,0.92943452,1024,144,16
global_unbounded,6,instruction_following,1.00000000,0.54629630,0.26561858,1.24588913,1024,144,16
global_unbounded,6,readability,1000.00000000,0.68981481,0.52102258,0.76232171,1024,144,16
global_unbounded,7,comprehensiveness,1.00000000,0.60833333,0.30698615,0.84483703,1024,144,16
global_unbounded,7,insight,1000.00000000,0.66851852,0.48411176,0.94898757,1024,144,16
global_unbounded,7,instruction_following,100.00000000,0.49814815,0.10551238,0.81236170,1024,144,16
global_unbounded,7,readability,1000.00000000,0.68148148,0.49841004,0.74141689,1024,144,16
global_unbounded,16,comprehensiveness,100.00000000,0.61851852,0.33809527,0.68552776,1024,144,16
global_unbounded,16,insight,100.00000000,0.68148148,0.51951445,1.06750696,1024,144,16
global_unbounded,16,instruction_following,1000.00000000,0.55000000,0.24642540,0.77564768,1024,144,16
global_unbounded,16,readability,1000.00000000,0.69351852,0.51119484,0.73015588,1024,144,16
global_unbounded,17,comprehensiveness,10.00000000,0.61574074,0.34034723,0.75107842,1024,144,16
global_unbounded,17,insight,1000.00000000,0.64814815,0.43095626,1.00992738,1024,144,16
global_unbounded,17,instruction_following,100.00000000,0.52685185,0.18368308,1.14910256,1024,144,16
global_unbounded,17,readability,1000.00000000,0.66851852,0.44381624,0.74279037,1024,144,16
global_unbounded,18,comprehensiveness,10.00000000,0.60185185,0.30194312,0.74785666,1024,144,16
global_unbounded,18,insight,1000.00000000,0.68518519,0.52659602,1.06729649,1024,144,16
