model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
odat_raw,16,16,0.87058824,0.70000000,0.85000000,102,120,0.84621068,0.67783020,0.83333333,0.75294985,0.59322034,0.77500000,0.59497017,0.50120627,0.60000000,0.81186585,0.69516000,0.71666667
odat_raw,17,16,0.85000000,0.71666667,0.85833333,103,120,0.68635154,0.54245080,0.75000000,0.85635574,0.72693285,0.74166667,0.69345312,0.55056097,0.66666667,0.47366280,0.39616616,0.60000000
odat_raw,18,16,0.59705882,0.46666667,0.73333333,88,120,0.51361309,0.41004543,0.70000000,0.47275456,0.35295364,0.66666667,0.71597633,0.51282051,0.72500000,0.32589590,0.26341137,0.57500000
odat_affine_loqo,1,16,0.82941176,0.70000000,0.85000000,102,120,0.60882353,0.43333333,0.71666667,0.82327041,0.68909996,0.83333333,0.20877248,0.15657503,0.53333333,0.75118531,0.59731911,0.73333333
odat_affine_loqo,2,16,0.91764706,0.78333333,0.89166667,107,120,0.79528805,0.62187070,0.80000000,0.92352941,0.76666667,0.88333333,0.73769834,0.58713656,0.75000000,0.67469057,0.47951222,0.62500000
odat_affine_loqo,3,16,0.87352941,0.71666667,0.85833333,103,120,0.01487058,-0.00874038,0.45000000,0.80854197,0.65546218,0.81666667,0.56435342,0.48442671,0.69166667,0.87673162,0.76085975,0.75833333
odat_affine_loqo,4,16,0.93529412,0.81666667,0.90833333,109,120,0.53363611,0.39329170,0.66666667,0.93883592,0.81857269,0.89166667,0.78545279,0.69156407,0.75833333,0.46838042,0.39595411,0.46666667
odat_affine_loqo,5,16,0.58823529,0.38333333,0.69166667,83,120,0.51917461,0.42374403,0.69166667,0.55415740,0.41788097,0.65833333,0.41894904,0.28326441,0.60833333,0.39262088,0.30988989,0.26666667
odat_affine_loqo,6,16,0.76470588,0.58333333,0.79166667,95,120,0.52391478,0.42678198,0.70833333,0.58198503,0.41711570,0.68333333,0.76191235,0.62887493,0.76666667,0.36818450,0.23046138,0.44166667
odat_affine_loqo,7,16,0.88529412,0.73333333,0.86666667,104,120,0.50519017,0.39661068,0.65833333,0.73196316,0.56812452,0.72500000,0.88723473,0.81204041,0.80833333,0.58736465,0.46291005,0.63333333
odat_affine_loqo,16,16,0.87058824,0.70000000,0.85000000,102,120,0.84621068,0.67783020,0.83333333,0.75294985,0.59322034,0.77500000,0.59497017,0.50120627,0.60000000,0.81186585,0.69516000,0.71666667
odat_affine_loqo,17,16,0.87647059,0.73333333,0.86666667,104,120,0.68635154,0.54245080,0.75000000,0.85635574,0.72693285,0.74166667,0.69345312,0.55056097,0.66666667,0.47366280,0.39616616,0.60000000
odat_affine_loqo,18,16,0.54117647,0.43333333,0.71666667,86,120,0.51361309,0.41004543,0.70000000,0.47275456,0.35295364,0.66666667,0.71597633,0.51282051,0.72500000,0.32589590,0.26341137,0.57500000
odat_isotonic_loqo,1,16,0.84117647,0.70000000,0.85000000,102,120,0.62380665,0.49471315,0.65833333,0.80622713,0.67841782,0.80000000,0.10969561,0.06681531,0.44166667,0.66198468,0.54130718,0.65833333
odat_isotonic_loqo,2,16,0.87352941,0.70000000,0.85000000,102,120,0.80109987,0.66394000,0.70833333,0.91021314,0.78334945,0.83333333,0.71808677,0.58585071,0.71666667,0.67469057,0.47951222,0.62500000
odat_isotonic_loqo,3,16,0.88266284,0.76282144,0.85833333,103,120,-0.07913096,-0.07043451,0.32500000,0.82898212,0.69967171,0.70833333,0.53982754,0.48750843,0.62500000,0.85136424,0.72243477,0.70000000
odat_isotonic_loqo,4,16,0.90882353,0.75000000,0.87500000,105,120,0.65638640,0.52295779,0.65000000,0.92504941,0.78824078,0.84166667,0.78020386,0.67801784,0.74166667,0.46838042,0.39595411,0.46666667
odat_isotonic_loqo,5,16,0.67255353,0.47699162,0.73333333,88,120,0.37822393,0.32066049,0.51666667,0.56799979,0.46328625,0.53333333,0.29304952,0.21701976,0.48333333,0.43972659,0.35598334,0.20833333
odat_isotonic_loqo,6,16,0.70816758,0.54718845,0.74166667,89,120,0.61790578,0.53220269,0.60000000,0.51943370,0.40273190,0.57500000,0.79618669,0.67699290,0.73333333,0.36818450,0.23046138,0.44166667
odat_isotonic_loqo,7,16,0.89705882,0.75000000,0.87500000,105,120,0.52942448,0.43329489,0.62500000,0.75195745,0.61667498,0.70000000,0.88148640,0.79595981,0.76666667,0.58736465,0.46291005,0.63333333
odat_isotonic_loqo,16,16,0.84411765,0.68333333,0.84166667,101,120,0.87049361,0.73755185,0.80000000,0.77061854,0.62911495,0.76666667,0.57437921,0.48931544,0.61666667,0.81389627,0.71443451,0.62500000
odat_isotonic_loqo,17,16,0.82855063,0.67783020,0.83333333,100,120,0.66576710,0.55543734,0.64166667,0.90022189,0.81072961,0.72500000,0.74794220,0.62930087,0.60000000,0.40276918,0.34009446,0.52500000
odat_isotonic_loqo,18,16,0.60882353,0.46666667,0.73333333,88,120,0.53778722,0.43117870,0.67500000,0.48326999,0.34417720,0.60833333,0.74666753,0.55787175,0.71666667,0.33312900,0.26586177,0.56666667
